"F2_DOC","F2_SERIE","F2_CLIENTE","F2_LOJA","F2_COND","F2_DUPL","F2_EMISSAO","F2_EST","F2_FRETE","F2_SEGURO","F2_ICMFRET","F2_TIPOCLI","F2_VALBRUT","F2_VALICM","F2_BASEICM","F2_VALIPI","F2_BASEIPI","F2_VALMERC","F2_NFORI","F2_DESCONT","F2_SERIORI","F2_TIPO","F2_ESPECI1","F2_ESPECI2","F2_ESPECI3","F2_ESPECI4","F2_VOLUME1","F2_VOLUME2","F2_VOLUME3","F2_VOLUME4","F2_ICMSRET","F2_PLIQUI","F2_PBRUTO","F2_TRANSP","F2_REDESP","F2_VEND1","F2_VEND2","F2_VEND3","F2_VEND4","F2_VEND5","F2_OK","F2_FIMP","F2_DTLANC","F2_DTREAJ","F2_REAJUST","F2_DTBASE0","F2_FATORB0","F2_DTBASE1","F2_FATORB1","F2_VARIAC","F2_FILIAL","F2_BASEISS","F2_VALISS","F2_VALFAT","F2_CONTSOC","F2_BRICMS","F2_FRETAUT","F2_ICMAUTO","F2_DESPESA","F2_NEXTDOC","F2_NEXTSER","F2_ESPECIE","F2_PDV","F2_MAPA","F2_ECF","F2_PREFIXO","F2_BASIMP1","F2_BASIMP2","F2_BASIMP3","F2_BASIMP4","F2_BASIMP5","F2_BASIMP6","F2_VALIMP1","F2_VALIMP2","F2_VALIMP3","F2_VALIMP4","F2_VALIMP5","F2_VALIMP6","F2_ORDPAGO","F2_NFCUPOM","F2_VALINSS","F2_HORA","F2_MOEDA","F2_REGIAO","F2_VALCSLL","F2_VALCOFI","F2_VALPIS","F2_LOTE","F2_TXMOEDA","F2_CLEOK","F2_CHVCLE","F2_IDCLE","F2_VALIRRF","F2_RECFAUT","F2_CARGA","F2_SEQCAR","F2_BASEINS","F2_PEDPEND","F2_DESCCAB","F2_DTENTR","F2_FORMUL","F2_TIPODOC","F2_NFEACRS","F2_TIPOREM","F2_SEQENT","F2_ICMSDIF","F2_VALACRS","F2_RECISS","F2_VALCF3","F2_ORDSEP","F2_HORNFE","F2_CHVNFE","F2_FLAGDEV","F2_TPFRETE","F2_NFELETR","F2_BASECF3","F2_VEICUL2","F2_HAWB","F2_NODIA","F2_BASEPS3","F2_EMINFE","F2_ESTCRED","F2_BASEIRR","F2_VALPS3","F2_CODNFE","F2_TIPORET","F2_BASPIS","F2_CREDNFE","F2_VEICUL1","F2_DIACTB","F2_VALTST","F2_CGCCLI","F2_RECOPI","F2_FILDEST","F2_NFICMST","F2_VLSENAR","F2_BASCSLL","F2_NFSUBST","F2_CLIENT","F2_BASETST","F2_SERSUBS","F2_NTFECP","F2_REFTAXA","F2_VLR_FRT","F2_BASEFUN","F2_BASCOFI","F2_REFMOED","F2_VEICUL3","F2_DTDIGIT","F2_VALFDS","F2_PREFORI","F2_LOJENT","F2_TPNFEXP","F2_VREINT","F2_BSREIN","F2_VALFAB","F2_VALFAC","F2_VALFET","F2_VALINA","F2_BASEINA","F2_DESCZFR","F2_FORMDES","F2_NUMORC","F2_IDSA1","F2_IDSA2","F2_IDSED","F2_LOJADES","F2_FORDES","F2_DTTXREF","F2_TXREF","F2_CODRGS","F2_DAUTNFE","F2_EVENFLG","F2_FLAGRGS","F2_HAUTNFE","F2_IDCCE","F2_IDRGS","F2_BASEFMP","F2_IDRECOP","F2_TOTEST","F2_TOTFED","F2_TOTMUN","F2_VALFMD","F2_VALFMP","F2_STATUS","F2_TIPIMP","F2_CNO","F2_TOTIMP","F2_SERMDF","F2_NUMMDF","F2_SDOCMDF","F2_SDOC","F2_SDOCMAN","F2_SDOCNXT","F2_SDOCSUB","F2_SDOCORI","F2_GNRFECP","F2_GNRDIF","F2_MENNOTA","F2_TPCOMPL","F2_LTRAN","F2_VALIMA","F2_VALFASE","F2_VALFUND","F2_SERSAT","F2_DTESERV","F2_ESTPRES","F2_MUNPRES","F2_FRTCFOP","F2_BSFCPST","F2_BASFECP","F2_PAFMD5","F2_LOJARET","F2_CMUNOR","F2_CMUNDE","F2_CLIRET","F2_UFORIG","F2_BSFCCMP","F2_UFDEST","F2_VLCPM","F2_BASECPM","F2_IDNF","D_E_L_E_T_","R_E_C_N_O_","R_E_C_D_E_L_","F2_CLIREM","F2_LOJAREM","F2_CODA1U"
"000000001","004","CLI003","01","001","         ","20200714","SP","0.0","0.0","0.0","F","10.0","0.0","0.0","0.0","0.0","10.0","         ","0.0","   ","N","          ","          ","          ","          ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","      ","      ","      ","      ","      ","      ","    "," ","        ","        ","   ","        ","0.0","        ","0.0","0.0","D MG 01 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","         ","   ","BPR  ","          ","          "," ","   ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","            ","0.0","13:49","1.0","   ","0.0","0.0","0.0"," ","0.0","    ","              ","            ","0.0","1","      ","  ","0.0","      ","0.0","        "," ","  ","         "," ","      ","0.0","0.0","2","0.0","      ","        ","                                            "," "," ","                    ","0.0","        ","                    ","          ","0.0","        ","0.0","0.0","0.0","                                                  "," ","0.0","0.0","        ","  ","0.0","                "," ","        ","            ","0.0","0.0","         ","CLI003","0.0","   ","            ","0.0","0.0","0.0","0.0","0.0","        ","        ","0.0","   ","01"," ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," ","      ","                    ","                    ","                    ","  ","      ","        ","0.0"," ","        "," ","    ","     ","                                                      ","                                                      ","0.0","      ","0.0","0.0","0.0","0.0","0.0","   ","1","      ","0.0","   ","         ","   ","004","   ","   ","   ","   ","            ","            ","                                                            ","1","                                         ","0.0","0.0","0.0","         ","        ","  ","       ","     ","0.0","0.0","                                ","  ","     ","     ","      ","SP","0.0","SP","0.0","0.0","40103775-828a-bf40-eec5-411c11bc9a19"," ","464893","0","      ","  ","      "
"000000001","133","FGRV04","01","003","000000001","20210210","SP","0.0","0.0","0.0","F","2500.0","0.0","0.0","0.0","0.0","2500.0","         ","0.0","   ","N","          ","          ","          ","          ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","      ","      ","      ","      ","      ","      ","    "," ","        ","        ","   ","        ","0.0","        ","0.0","0.0","D MG 01 ","2500.0","125.0","2500.0","0.0","0.0","0.0","0.0","0.0","         ","   ","     ","          ","          "," ","133","0.0","0.0","0.0","0.0","2375.0","2375.0","0.0","0.0","0.0","0.0","47.5","15.44","      ","            ","0.0","15:33","1.0","   ","25.0","45.0","9.75"," ","0.0","    ","              ","            ","30.0","1","      ","  ","0.0","      ","0.0","        "," ","  ","         "," ","      ","0.0","0.0","2","0.0","      ","        ","                                            "," "," ","                    ","0.0","        ","                    ","          ","0.0","        ","0.0","2500.0","0.0","                                                  "," ","1500.0","0.0","        ","  ","0.0","                "," ","        ","            ","0.0","2500.0","         ","FGRV04","0.0","   ","            ","0.0","0.0","0.0","1500.0","0.0","        ","        ","0.0","   ","01"," ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," ","      ","                    ","                    ","1                   ","  ","      ","        ","0.0"," ","        "," ","    ","     ","                                                      ","                                                      ","0.0","      ","0.0","0.0","0.0","0.0","0.0","   ","1","      ","0.0","   ","         ","   ","133","   ","   ","   ","   ","            ","            ","                                                            ","1","                                         ","0.0","0.0","0.0","         ","        ","  ","       ","     ","0.0","0.0","                                ","  ","     ","     ","      ","RJ","0.0","SP","0.0","0.0","c1ce1623-7364-c413-24da-75d9980190d5"," ","464894","0","      ","  ","      "
"000000001","317","CLIBH ","01","000","000000001","20200610","MG","0.0","0.0","0.0","F","10.0","0.0","0.0","0.0","0.0","10.0","         ","0.0","   ","N","          ","          ","          ","          ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","      ","      ","      ","      ","      ","      ","    "," ","        ","        ","   ","        ","0.0","        ","0.0","0.0","D MG 01 ","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","         ","   ","     ","          ","          "," ","317","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","            ","0.0","18:35","1.0","   ","0.0","0.0","0.0"," ","0.0","    ","              ","            ","0.0","1","000006","01","0.0","      ","0.0","        "," ","  ","         "," ","000005","0.0","0.0","2","0.0","      ","        ","                                            "," "," ","                    ","0.0","        ","                    ","          ","0.0","        ","0.0","0.0","0.0","                                                  "," ","0.0","0.0","        ","  ","0.0","                "," ","        ","            ","0.0","0.0","         ","CLIBH ","0.0","   ","            ","0.0","0.0","0.0","0.0","0.0","        ","        ","0.0","   ","01"," ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," ","      ","                    ","                    ","1                   ","  ","      ","        ","0.0"," ","        "," ","    ","     ","                                                      ","                                                      ","0.0","      ","0.0","0.0","0.0","0.0","0.0","   ","1","      ","0.0","   ","         ","   ","317","   ","   ","   ","   ","            ","            ","                                                            "," ","                                         ","0.0","0.0","0.0","         ","        ","  ","       ","     ","0.0","0.0","                                ","  ","     ","     ","      ","TO","0.0","MG","0.0","0.0","9f86e418-9301-951d-5ed6-f89b02abcf64"," ","464896","0","      ","  ","      "
"000000001","626","000001","01","033","000000001","20210826","SP","0.0","0.0","0.0","F","500.0","0.0","0.0","0.0","0.0","500.0","         ","0.0","   ","N","          ","          ","          ","          ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","      ","      ","      ","      ","      ","      ","    "," ","        ","        ","   ","        ","0.0","        ","0.0","0.0","D MG 01 ","0.0","0.0","500.0","0.0","0.0","0.0","0.0","0.0","         ","   ","     ","          ","          "," ","626","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","            ","0.0","16:02","1.0","   ","0.0","0.0","0.0"," ","0.0","    ","              ","            ","0.0","1","      ","  ","0.0","      ","0.0","        "," ","  ","         "," ","      ","0.0","0.0","2","0.0","      ","        ","                                            "," "," ","                    ","0.0","        ","                    ","          ","0.0","        ","0.0","0.0","0.0","                                                  "," ","0.0","0.0","        ","  ","0.0","                "," ","        ","            ","0.0","0.0","         ","000001","0.0","   ","            ","0.0","0.0","0.0","0.0","0.0","        ","        ","0.0","   ","01"," ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," ","      ","                    ","                    ","1                   ","  ","      ","        ","0.0"," ","        "," ","    ","     ","                                                      ","                                                      ","0.0","      ","0.0","0.0","0.0","0.0","0.0","   ","1","      ","0.0","   ","         ","   ","626","   ","   ","   ","   ","            ","            ","                                                            ","1","                                         ","0.0","0.0","0.0","         ","        ","  ","       ","     ","0.0","0.0","                                ","  ","     ","     ","      ","RJ","0.0","SP","0.0","0.0","8c4889bb-8db6-8221-9741-55699308c11c"," ","464897","0","      ","  ","      "
"000000001","MN ","MN0001","01","M02","000000001","20210902","SP","0.0","0.0","0.0","R","462.85","55.53","462.85","14.54","448.31","448.31","         ","0.0","   ","N","          ","          ","          ","          ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","      ","      ","      ","      ","      ","      ","    "," ","        ","        ","   ","        ","0.0","        ","0.0","0.0","D MG 01 ","0.0","0.0","462.85","0.0","0.0","0.0","0.0","0.0","         ","   ","     ","          ","          "," ","MN ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","            ","0.0","14:48","1.0","   ","0.0","0.0","0.0"," ","0.0","    ","              ","            ","0.0","1","      ","  ","0.0","      ","0.0","        "," ","  ","         "," ","      ","0.0","0.0","2","0.0","      ","        ","41191219368927001260576650000000031100143188"," "," ","                    ","0.0","        ","                    ","          ","0.0","        ","0.0","0.0","0.0","                                                  "," ","0.0","0.0","        ","  ","0.0","                "," ","        ","            ","0.0","0.0","         ","MN0001","0.0","   ","            ","0.0","0.0","0.0","0.0","0.0","        ","        ","0.0","   ","01"," ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," ","      ","                    ","                    ","1                   ","  ","      ","        ","0.0"," ","        "," ","    ","     ","                                                      ","                                                      ","0.0","      ","0.0","0.0","0.0","0.0","0.0","   ","1","      ","0.0","   ","         ","   ","MN ","   ","   ","   ","   ","            ","            ","                                                            ","1","                                         ","0.0","0.0","0.0","         ","        ","  ","       ","     ","0.0","0.0","                                ","  ","     ","     ","      ","RJ","0.0","SP","0.0","0.0","19bd8e46-e175-e022-e07e-d09e79ec4b95"," ","464899","0","      ","  ","      "
"000000002","317","BETIM ","01","000","000000002","20200610","MG","0.0","0.0","0.0","F","10.0","0.0","0.0","0.0","0.0","10.0","         ","0.0","   ","N","          ","          ","          ","          ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","      ","      ","      ","      ","      ","      ","    "," ","        ","        ","   ","        ","0.0","        ","0.0","0.0","D MG 01 ","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","         ","   ","     ","          ","          "," ","317","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","            ","0.0","18:44","1.0","   ","0.0","0.0","0.0"," ","0.0","    ","              ","            ","0.0","1","000001","01","0.0","      ","0.0","        "," ","  ","         "," ","000005","0.0","0.0","2","0.0","      ","        ","                                            "," "," ","                    ","0.0","        ","                    ","          ","0.0","        ","0.0","0.0","0.0","                                                  "," ","0.0","0.0","        ","  ","0.0","                "," ","        ","            ","0.0","0.0","         ","BETIM ","0.0","   ","            ","0.0","0.0","0.0","0.0","0.0","        ","        ","0.0","   ","01"," ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," ","      ","                    ","                    ","1                   ","  ","      ","        ","0.0"," ","        "," ","    ","     ","                                                      ","                                                      ","0.0","      ","0.0","0.0","0.0","0.0","0.0","   ","1","      ","0.0","   ","         ","   ","317","   ","   ","   ","   ","            ","            ","                                                            "," ","                                         ","0.0","0.0","0.0","         ","        ","  ","       ","     ","0.0","0.0","                                ","  ","     ","     ","      ","TO","0.0","MG","0.0","0.0","94beac63-f666-e702-7ab9-49d82beae5ee"," ","464902","0","      ","  ","      "
"000000002","626","000001","01","001","000000002","20210917","SP","0.0","0.0","0.0","F","900.0","0.0","0.0","0.0","0.0","900.0","         ","100.0","   ","N","          ","          ","          ","          ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","      ","      ","      ","      ","      ","      ","    "," ","        ","        ","   ","        ","0.0","        ","0.0","0.0","D MG 01 ","0.0","0.0","900.0","0.0","0.0","0.0","0.0","0.0","         ","   ","     ","          ","          "," ","626","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","            ","0.0","11:58","1.0","   ","0.0","0.0","0.0"," ","0.0","    ","              ","            ","0.0","1","      ","  ","0.0","      ","100.0","        "," ","  ","         "," ","      ","0.0","0.0","2","0.0","      ","        ","                                            ","1"," ","                    ","0.0","        ","                    ","          ","0.0","        ","0.0","0.0","0.0","                                                  "," ","0.0","0.0","        ","  ","0.0","                "," ","        ","            ","0.0","0.0","         ","000001","0.0","   ","            ","0.0","0.0","0.0","0.0","0.0","        ","        ","0.0","   ","01"," ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," ","      ","                    ","                    ","1                   ","  ","      ","        ","0.0"," ","        "," ","    ","     ","                                                      ","                                                      ","0.0","      ","0.0","0.0","0.0","0.0","0.0","   ","1","      ","0.0","   ","         ","   ","626","   ","   ","   ","   ","            ","            ","                                                            ","1","                                         ","0.0","0.0","0.0","         ","        ","  ","       ","     ","0.0","0.0","                                ","  ","     ","     ","      ","RJ","0.0","SP","0.0","0.0","a4ad7d6d-618c-b14c-85e9-ff4063e09323"," ","464903","0","      ","  ","      "
"000000002","MN ","MN0001","01","M02","000000002","20210902","SP","0.0","0.0","0.0","R","415.52","49.85","415.52","11.87","403.65","403.65","         ","0.0","   ","N","          ","          ","          ","          ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","      ","      ","      ","      ","      ","      ","    "," ","        ","        ","   ","        ","0.0","        ","0.0","0.0","D MG 01 ","0.0","0.0","415.52","0.0","0.0","0.0","0.0","0.0","         ","   ","     ","          ","          "," ","MN ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","            ","0.0","14:52","1.0","   ","0.0","0.0","0.0"," ","0.0","    ","              ","            ","0.0","1","      ","  ","0.0","      ","0.0","        "," ","  ","         "," ","      ","0.0","0.0","2","0.0","      ","        ","35200653113791000122550550500040011100065796"," "," ","                    ","0.0","        ","                    ","          ","0.0","        ","0.0","0.0","0.0","                                                  "," ","0.0","0.0","        ","  ","0.0","                "," ","        ","            ","0.0","0.0","         ","MN0001","0.0","   ","            ","0.0","0.0","0.0","0.0","0.0","        ","        ","0.0","   ","01"," ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," ","      ","                    ","                    ","1                   ","  ","      ","        ","0.0"," ","        "," ","    ","     ","                                                      ","                                                      ","0.0","      ","0.0","0.0","0.0","0.0","0.0","   ","1","      ","0.0","   ","         ","   ","MN ","   ","   ","   ","   ","            ","            ","                                                            ","1","                                         ","0.0","0.0","0.0","         ","        ","  ","       ","     ","0.0","0.0","                                ","  ","     ","     ","      ","RJ","0.0","SP","0.0","0.0","fb5b6b0e-8295-1e1b-907d-b6a9c3395d5d"," ","464905","0","      ","  ","      "
"000000002","TMK","TMK001","01","000","000000002","20200416","SP","0.0","0.0","0.0","F","100.0","0.0","0.0","0.0","0.0","100.0","         ","0.0","   ","N","          ","          ","          ","          ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","      ","      ","      ","      ","      ","      ","    "," ","        ","        ","   ","        ","0.0","        ","0.0","0.0","D MG 01 ","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","         ","   ","     ","          ","          "," ","TMK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","            ","0.0","11:04","1.0","   ","0.0","0.0","0.0"," ","0.0","    ","              ","            ","0.0","1","      ","  ","0.0","      ","0.0","        "," ","  ","         "," ","      ","0.0","0.0","2","0.0","      ","        ","                                            "," "," ","                    ","0.0","        ","                    ","          ","0.0","        ","0.0","0.0","0.0","                                                  "," ","0.0","0.0","        ","  ","0.0","                "," ","        ","            ","0.0","0.0","         ","TMK001","0.0","   ","            ","0.0","0.0","0.0","0.0","0.0","        ","        ","0.0","   ","01"," ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," ","      ","                    ","                    ","1                   ","  ","      ","        ","0.0"," ","        "," ","    ","     ","                                                      ","                                                      ","0.0","      ","0.0","0.0","0.0","0.0","0.0","   ","1","      ","0.0","   ","         ","   ","TMK","   ","   ","   ","   ","            ","            ","                                                            "," ","                                         ","0.0","0.0","0.0","         ","        ","  ","       ","     ","0.0","0.0","                                ","  ","     ","     ","      ","RJ","0.0","SP","0.0","0.0","3f0c4c06-3321-100e-61de-2b715658ce3b"," ","464906","0","      ","  ","      "
"000000003","317","CLIBH ","01","000","000000003","20200610","MG","0.0","0.0","0.0","F","10.0","0.0","0.0","0.0","0.0","10.0","         ","0.0","   ","N","          ","          ","          ","          ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","      ","      ","      ","      ","      ","      ","    "," ","        ","        ","   ","        ","0.0","        ","0.0","0.0","D MG 01 ","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","         ","   ","     ","          ","          "," ","317","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","      ","            ","0.0","18:45","1.0","   ","0.0","0.0","0.0"," ","0.0","    ","              ","            ","0.0","1","000002","01","0.0","      ","0.0","        "," ","  ","         "," ","000005","0.0","0.0","2","0.0","      ","        ","                                            "," "," ","                    ","0.0","        ","                    ","          ","0.0","        ","0.0","0.0","0.0","                                                  "," ","0.0","0.0","        ","  ","0.0","                "," ","        ","            ","0.0","0.0","         ","CLIBH ","0.0","   ","            ","0.0","0.0","0.0","0.0","0.0","        ","        ","0.0","   ","01"," ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"," ","      ","                    ","                    ","1                   ","  ","      ","        ","0.0"," ","        "," ","    ","     ","                                                      ","                                                      ","0.0","      ","0.0","0.0","0.0","0.0","0.0","   ","1","      ","0.0","   ","         ","   ","317","   ","   ","   ","   ","            ","            ","                                                            "," ","                                         ","0.0","0.0","0.0","         ","        ","  ","       ","     ","0.0","0.0","                                ","  ","     ","     ","      ","TO","0.0","MG","0.0","0.0","f05a864a-3cf1-49eb-0eca-14b1d922c485"," ","464909","0","      ","  ","      "
